Data;Hora;UmidadeRelativa;PressaoAtmosferica;TemperaturaDoAr;TemperaturaInterna;PontoDeOrvalho;SensacaoTermica;RadiacaoSolar;DirecaoDoVento;VelocidadeDoVento;Precipitacao;Local
31/12/12;23:45:55;75.10000000000001;922.9000000000001;23.3;27.200000000000003;18.6;;0;356;6.800000000000001;0;Erasmo
31/12/12;23:31:54;74.9;923.2;23.400000000000002;27.1;18.6;;0;1;7.6000000000000005;0;Erasmo
31/12/12;23:15:28;78.4;923.4000000000001;23.3;27.1;19.400000000000002;;0;350;6.800000000000001;0;Erasmo
31/12/12;23:01:28;82.5;923.5;23.1;27;20;;0;5;7.9;0;Erasmo
31/12/12;22:45:28;82;923.5;23.1;27;19.900000000000002;;0;347;12.600000000000001;0;Erasmo
31/12/12;22:31:28;80.80000000000001;923.5;23.200000000000003;26.900000000000002;19.700000000000003;;0;349;12.200000000000001;0;Erasmo
31/12/12;22:15:28;85.2;923;22.5;26.900000000000002;19.900000000000002;;0;48;1.8;0;Erasmo
31/12/12;22:01:28;85.60000000000001;923;22.6;26.900000000000002;20.1;;0;108;2.5;0;Erasmo
31/12/12;21:45:28;86.10000000000001;922.9000000000001;22.400000000000002;26.8;20;;0;25;1.8;0;Erasmo
31/12/12;21:31:28;87;922.7;22.3;26.8;20;;0;123;2.9000000000000004;0;Erasmo
31/12/12;21:15:28;87.60000000000001;922.8000000000001;22.3;26.900000000000002;20.1;;0;129;5;0;Erasmo
31/12/12;21:01:28;86.7;922.7;22.5;27;20.1;;0;88;5.800000000000001;0;Erasmo
31/12/12;20:45:28;86.10000000000001;922.6;22.6;27.1;20.1;;0;144;5.800000000000001;0;Erasmo
31/12/12;20:31:28;86.10000000000001;922.7;22.700000000000003;27.3;20.200000000000003;;0;120;8.3;0;Erasmo
31/12/12;20:15:27;85.5;922.6;22.8;27.6;20.3;;0;134;8.3;0;Erasmo
31/12/12;20:01:27;84.5;922.5;22.900000000000002;27.900000000000002;20.1;;1;131;9.4;0;Erasmo
31/12/12;19:45:28;83.10000000000001;922.4000000000001;23;28.3;19.900000000000002;;4;116;10.8;0;Erasmo
31/12/12;19:31:28;80.2;922.1;23.3;28.700000000000003;19.700000000000003;;14;106;14.4;0;Erasmo
31/12/12;19:15:28;75.10000000000001;921.9000000000001;23.8;29.200000000000003;19.1;;31;101;8.3;0;Erasmo
31/12/12;19:01:28;76;921.4000000000001;24;29.6;19.6;;50;100;7.6000000000000005;0;Erasmo
31/12/12;18:45:28;73;921.3000000000001;24.5;30.1;19.3;;65;94;11.5;0;Erasmo
31/12/12;18:31:28;71;921.1;25.1;30.400000000000002;19.700000000000003;;81;128;11.9;0;Erasmo
31/12/12;18:15:28;71;921.2;25.3;30.700000000000003;19.6;;98;129;9;0;Erasmo
31/12/12;18:01:28;70.3;921.1;25.5;31;19.6;;116;127;9;0;Erasmo
31/12/12;17:45:28;70.60000000000001;921;25.6;31.3;20;;142;126;5.800000000000001;0;Erasmo
31/12/12;17:31:27;68.5;921.2;25.900000000000002;31.700000000000003;19.700000000000003;;159;129;6.800000000000001;0;Erasmo
31/12/12;17:15:27;67.10000000000001;921.4000000000001;26.1;32.1;19.400000000000002;;186;137;8.3;0;Erasmo
31/12/12;17:01:28;67.60000000000001;921.6;25.900000000000002;32.7;19.400000000000002;;220;107;5.4;0;Erasmo
31/12/12;16:45:27;68;921.9000000000001;25.5;33.7;19.200000000000003;;109;85;6.1000000000000005;0;Erasmo
31/12/12;16:31:27;66.3;922.3000000000001;26;34.6;19.1;;40;78;14;0;Erasmo
31/12/12;16:15:27;42.800000000000004;922.3000000000001;29.700000000000003;34.7;16;;388;155;5;0.2;Erasmo
31/12/12;16:01:28;47.7;922.6;29;34.5;15.8;;518;238;13.3;0.2;Erasmo
31/12/12;15:45:27;51;922.6;28.700000000000003;34.4;17.3;;534;342;6.1000000000000005;0.2;Erasmo
31/12/12;15:31:28;58.6;922.7;27.1;35;18.6;;477;4;14.8;0.2;Erasmo
31/12/12;15:15:28;54.2;923;29.200000000000003;35.2;20.200000000000003;;500;224;7.9;0;Erasmo
31/12/12;15:01:27;56.1;922.9000000000001;29.1;35.4;20.200000000000003;;310;92;13;0;Erasmo
31/12/12;14:45:28;48.1;923.1;29.900000000000002;35.1;17.900000000000002;;382;151;6.5;0;Erasmo
31/12/12;14:31:27;55.2;923.2;29.1;34.800000000000004;17.8;;561;70;10.100000000000001;0;Erasmo
31/12/12;14:15:27;52.300000000000004;923.3000000000001;28.900000000000002;34.5;17.3;;373;76;4.7;0;Erasmo
31/12/12;14:01:27;49.900000000000006;923.4000000000001;29.1;34;17.5;;1024;106;6.1000000000000005;0;Erasmo
31/12/12;13:45:27;50.1;923.6;27.900000000000002;33.6;16.6;;429;104;2.5;0;Erasmo
31/12/12;13:31:27;51.7;923.7;27.700000000000003;33.5;16.900000000000002;;298;32;8.3;0;Erasmo
31/12/12;13:15:27;51.800000000000004;923.8000000000001;27.6;33.300000000000004;17;;691;279;9.700000000000001;0;Erasmo
31/12/12;13:01:27;49.7;923.9000000000001;27.8;33;17.400000000000002;;649;151;4.7;0;Erasmo
31/12/12;12:45:27;51.2;923.9000000000001;28.1;32.5;17.1;;898;281;11.200000000000001;0;Erasmo
31/12/12;12:31:27;56.6;924;27.400000000000002;32.1;17.7;;605;348;8.6;0;Erasmo
31/12/12;12:15:27;54.800000000000004;924.1;27.1;31.8;16.7;;542;286;2.2;0;Erasmo
31/12/12;12:01:28;53.400000000000006;924.2;27.1;31.6;17;;645;318;12.200000000000001;0;Erasmo
31/12/12;11:45:26;51.800000000000004;924.3000000000001;27;31.200000000000003;16;;728;316;13;0;Erasmo
31/12/12;11:31:27;53.5;924.3000000000001;26.400000000000002;30.900000000000002;16.1;;749;296;31;0;Erasmo
31/12/12;11:15:27;55.900000000000006;924.4000000000001;26.8;30.3;17.1;;872;319;18;0;Erasmo
31/12/12;11:01:27;59.1;924.6;25.8;29.8;17.400000000000002;;804;321;14.4;0;Erasmo
31/12/12;10:45:27;61.5;924.7;25;29.700000000000003;16.900000000000002;;486;334;13.3;0;Erasmo
31/12/12;10:31:27;60.7;924.7;25;29.400000000000002;16.900000000000002;;472;346;19.1;0;Erasmo
31/12/12;10:15:27;61.6;924.8000000000001;24.8;29.1;16.8;;540;306;13;0;Erasmo
31/12/12;10:01:27;64.60000000000001;925;24.3;28.8;17.2;;383;324;15.100000000000001;0;Erasmo
31/12/12;09:45:26;64.60000000000001;924.9000000000001;24.1;28.6;17;;269;289;8.3;0;Erasmo
31/12/12;09:31:27;66.10000000000001;924.9000000000001;23.900000000000002;28.3;17.2;;321;311;12.200000000000001;0;Erasmo
31/12/12;09:15:27;68.9;924.9000000000001;24;27.700000000000003;17.7;;634;323;12.200000000000001;0;Erasmo
31/12/12;09:01:26;69.2;924.9000000000001;23.3;27.1;17.400000000000002;;547;303;8.3;0;Erasmo
31/12/12;08:45:27;72.3;924.9000000000001;22.8;26.200000000000003;17.5;;514;304;11.200000000000001;0;Erasmo
31/12/12;08:31:27;77.80000000000001;924.9000000000001;22.400000000000002;25.3;18.2;;535;327;5.800000000000001;0;Erasmo
31/12/12;08:15:27;82.5;924.7;21.200000000000003;24.6;18;;307;319;10.4;0;Erasmo
31/12/12;08:01:27;85.9;924.7;20.400000000000002;24.200000000000003;17.900000000000002;;170;342;6.800000000000001;0;Erasmo
31/12/12;07:45:07;87.80000000000001;924.4000000000001;20;24;17.900000000000002;;98;339;11.200000000000001;0;Erasmo
31/12/12;07:31:07;88.60000000000001;924.1;19.8;23.900000000000002;17.8;;57;327;5;0;Erasmo
31/12/12;07:15:07;89;924;19.6;23.8;17.8;;33;359;8.3;0;Erasmo
31/12/12;07:01:07;88.80000000000001;923.8000000000001;19.6;23.8;17.7;;20;8;16.900000000000002;0;Erasmo
31/12/12;06:45:07;89.10000000000001;923.6;19.6;23.8;17.7;;9;52;4.7;0;Erasmo
31/12/12;06:31:06;89.10000000000001;923.5;19.6;23.8;17.7;;3;344;9.4;0;Erasmo
31/12/12;06:15:06;88.80000000000001;923.4000000000001;19.6;23.8;17.7;;1;12;10.8;0;Erasmo
31/12/12;06:01:07;88.9;923.3000000000001;19.6;23.700000000000003;17.7;;0;336;11.5;0;Erasmo
31/12/12;05:45:06;88.9;923.2;19.5;23.700000000000003;17.6;;0;333;10.8;0;Erasmo
31/12/12;05:31:07;88.7;923.1;19.5;23.700000000000003;17.5;;0;4;9.700000000000001;0;Erasmo
31/12/12;05:15:07;88.60000000000001;923;19.400000000000002;23.8;17.5;;0;355;6.5;0;Erasmo
31/12/12;05:01:06;88.5;922.8000000000001;19.5;23.8;17.5;;0;354;7.9;0;Erasmo
31/12/12;04:45:06;87.9;922.8000000000001;19.6;23.8;17.5;;0;0;12.600000000000001;0;Erasmo
31/12/12;04:31:06;87.80000000000001;922.7;19.6;23.900000000000002;17.5;;0;1;7.6000000000000005;0;Erasmo
31/12/12;04:15:06;87.30000000000001;922.7;19.700000000000003;23.900000000000002;17.5;;0;359;8.6;0;Erasmo
31/12/12;04:01:07;86.7;922.7;19.700000000000003;24;17.400000000000002;;0;327;9.4;0;Erasmo
31/12/12;03:45:06;86.7;922.8000000000001;19.700000000000003;24.1;17.400000000000002;;0;23;10.8;0;Erasmo
31/12/12;03:31:06;87.10000000000001;922.8000000000001;19.8;24.1;17.6;;0;10;13.3;0;Erasmo
31/12/12;03:15:06;87;922.9000000000001;19.8;24.200000000000003;17.6;;0;24;11.200000000000001;0;Erasmo
31/12/12;03:01:06;87.80000000000001;923;19.900000000000002;24.200000000000003;17.8;;0;19;13.700000000000001;0;Erasmo
31/12/12;02:45:06;88.2;923.1;19.900000000000002;24.200000000000003;17.900000000000002;;0;336;11.9;0;Erasmo
31/12/12;02:31:06;89.2;923.2;19.900000000000002;24.200000000000003;18.1;;0;25;16.6;0;Erasmo
31/12/12;02:15:06;89.10000000000001;923.2;19.900000000000002;24.200000000000003;18;;0;21;15.100000000000001;0;Erasmo
31/12/12;02:01:06;89.30000000000001;923.4000000000001;19.8;24.200000000000003;18;;0;45;14;0;Erasmo
31/12/12;01:45:06;89.80000000000001;923.6;19.900000000000002;24.3;18.1;;0;340;9;0;Erasmo
31/12/12;01:31:06;89.80000000000001;923.7;19.900000000000002;24.400000000000002;18.1;;0;22;10.8;0;Erasmo
31/12/12;01:15:06;89.2;924;19.900000000000002;24.6;18.1;;0;10;9.4;0;Erasmo
31/12/12;01:01:06;88.7;924.4000000000001;20.1;24.6;18.1;;0;29;9;0;Erasmo
31/12/12;00:45:06;89.5;924.8000000000001;20.200000000000003;24.8;18.400000000000002;;0;2;11.200000000000001;0;Erasmo
31/12/12;00:31:06;89.10000000000001;925;20.3;24.8;18.400000000000002;;0;354;6.800000000000001;0;Erasmo
31/12/12;00:15:06;88.9;925.2;20.400000000000002;24.900000000000002;18.5;;0;15;11.5;0;Erasmo
31/12/12;00:01:06;88.80000000000001;925.3000000000001;20.6;24.900000000000002;18.7;;0;12;10.8;0;Erasmo
30/12/12;23:45:06;87.4;925.4000000000001;20.8;24.900000000000002;18.6;;0;2;11.5;0;Erasmo
30/12/12;23:31:06;84.9;925.6;20.700000000000003;25;18.1;;0;6;6.800000000000001;0;Erasmo
30/12/12;23:15:06;85.10000000000001;925.5;20.700000000000003;25;18.1;;0;355;10.8;0.2;Erasmo
30/12/12;23:01:06;85.30000000000001;925.4000000000001;20.6;25;18;;0;336;5.4;0.2;Erasmo
30/12/12;22:45:06;86.2;925.3000000000001;20.5;25;18;;0;335;5;0.4;Erasmo
30/12/12;22:31:06;85.10000000000001;925.2;20.6;24.900000000000002;18;;0;9;1.4000000000000001;0.4;Erasmo
30/12/12;22:15:06;84.80000000000001;925.1;20.400000000000002;24.900000000000002;17.900000000000002;;0;311;3.2;0.4;Erasmo
30/12/12;22:01:05;87.5;925;20.200000000000003;24.8;18.1;;0;323;3.2;0.6000000000000001;Erasmo
30/12/12;21:45:06;87;924.9000000000001;20.1;24.8;17.900000000000002;;0;214;1.4000000000000001;0.4;Erasmo
30/12/12;21:31:05;86.9;924.7;20;24.900000000000002;17.8;;0;143;2.9000000000000004;0.4;Erasmo
30/12/12;21:15:05;85.30000000000001;924.5;20.1;25.200000000000003;17.5;;0;140;3.6;0.6000000000000001;Erasmo
30/12/12;21:01:06;83.2;924.4000000000001;20.3;25.400000000000002;17.400000000000002;;0;133;1.4000000000000001;0.4;Erasmo
30/12/12;20:45:05;83.60000000000001;924.2;20.1;25.8;17.2;;0;68;3.2;0.4;Erasmo
30/12/12;20:31:05;82.10000000000001;924.2;20.3;26.1;17.1;;0;309;1.8;0.4;Erasmo
30/12/12;20:15:05;77.60000000000001;923.8000000000001;20.8;26.700000000000003;16.7;;0;344;5;0;Erasmo
30/12/12;20:01:06;73.10000000000001;923.6;21.3;27.3;16.2;;0;322;10.4;0;Erasmo
30/12/12;19:45:05;71.5;923.4000000000001;22.5;27.700000000000003;17.1;;2;324;18.7;0;Erasmo
30/12/12;19:31:05;75.8;923.2;23.200000000000003;27.900000000000002;18.8;;5;12;18;0;Erasmo
30/12/12;19:15:05;76.4;923.2;23.400000000000002;28.1;19;;16;336;12.600000000000001;0;Erasmo
30/12/12;19:01:05;78;923.1;23.200000000000003;28.200000000000003;19.1;;29;348;5;0;Erasmo
30/12/12;18:45:05;78.4;922.7;23.3;28.200000000000003;19.3;;36;106;5;0;Erasmo
30/12/12;18:31:05;78.60000000000001;922.7;23.1;28.200000000000003;19.1;;35;100;1.1;0;Erasmo
30/12/12;18:16:41;78.30000000000001;922.5;23.200000000000003;28.1;19.3;;45;72;6.1000000000000005;0;Erasmo
30/12/12;18:01:51;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;17:45:41;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;17:31:41;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;17:15:41;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;17:02:12;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;16:45:41;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;16:31:41;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;16:15:41;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;16:03:41;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;15:46:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;15:30:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;15:16:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;15:00:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;14:46:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;14:30:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;14:16:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;14:00:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;13:46:44;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;13:30:44;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;13:16:44;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;13:02:06;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;12:46:44;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;12:30:44;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;12:16:44;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;12:02:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;12:02:45;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;11:46:08;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;11:30:08;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;11:16:08;0;0;0;0;0;;0;0;0;0;Erasmo
30/12/12;11:00:17;0;0;0;0;0;;0;0;0;0;Erasmo
