Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;11/02/2010;0000;;30.3;;4.3;3.6;23.6;77.25;1.3;
83781;11/02/2010;1200;1;;19.9;;;;;;
83781;12/02/2010;0000;;32.3;;6.5;1.9;25.16;70.75;1.966667;
83781;12/02/2010;1200;20.6;;20.2;;;;;;
83781;13/02/2010;0000;;33.3;;9.4;5.1;26.56;63.75;2.1;
83781;13/02/2010;1200;0;;21.9;;;;;;
83781;14/02/2010;0000;;33.6;;11.8;6;27.32;50;1.9;
83781;14/02/2010;1200;0;;21.7;;;;;;
83781;15/02/2010;0000;;33.8;;10.8;7.5;27.54;58.25;2.466667;
83781;15/02/2010;1200;0;;23.2;;;;;;
83781;16/02/2010;0000;;32.5;;11.2;8.3;27.72;61.25;2.7;
83781;16/02/2010;1200;0;;23.4;;;;;;
83781;17/02/2010;0000;;31.5;;3.1;8;24.02;78.5;2.133333;
83781;17/02/2010;1200;0;;19.8;;;;;;
83781;18/02/2010;0000;;26.5;;0.1;2.8;22.68;84.5;2.633333;
83781;18/02/2010;1200;60.8;;19.9;;;;;;
83781;19/02/2010;0000;;27.1;;3.7;2;23.12;80.25;3.966667;
83781;19/02/2010;1200;0;;20.7;;;;;;
83781;20/02/2010;0000;;30.6;;1.9;3;24.44;68.25;0.533333;
83781;20/02/2010;1200;0;;20.5;;;;;;
83781;21/02/2010;0000;;32.6;;11.6;4;26.26;65.75;2.133333;
83781;21/02/2010;1200;0;;20.7;;;;;;
83781;22/02/2010;0000;;32.7;;10.7;6.5;26.12;70.75;1.433333;
83781;22/02/2010;1200;0;;22.3;;;;;;
83781;23/02/2010;0000;;33.1;;11.1;5.5;26.66;62.75;3.1;
83781;23/02/2010;1200;2;;22.4;;;;;;
83781;24/02/2010;0000;;31.9;;4.5;8.5;25.78;74.25;3.6;
83781;24/02/2010;1200;2.2;;23;;;;;;
83781;25/02/2010;0000;;24.5;;0;4.8;20.52;87.5;4.366667;
83781;25/02/2010;1200;32.2;;18.1;;;;;;
83781;26/02/2010;0000;;23.7;;0.1;2.1;19.86;78.5;4.466667;
83781;26/02/2010;1200;10.3;;17.7;;;;;;
83781;27/02/2010;0000;;26.8;;4;3.6;21.44;73.5;3.666667;
83781;27/02/2010;1200;0;;17.9;;;;;;
83781;28/02/2010;0000;;22.8;;0;3.9;19.78;94.75;2.1;
83781;28/02/2010;1200;0;;18.1;;;;;;
83781;01/03/2010;0000;;20.6;;0;1.2;18.06;89;5.3;
83781;01/03/2010;1200;32.3;;16.2;;;;;;
83781;02/03/2010;0000;;21.9;;0;1.8;19.06;84;4.566667;
83781;02/03/2010;1200;7;;16.2;;;;;;
83781;03/03/2010;0000;;23.7;;0;1.2;20;86.25;3.733333;
83781;03/03/2010;1200;0.4;;16.9;;;;;;
83781;04/03/2010;0000;;25.1;;0.3;2.3;21.68;85.5;3.566667;
83781;04/03/2010;1200;3.6;;19.3;;;;;;
83781;05/03/2010;0000;;25.5;;0.4;2;21.8;80.5;2.933333;
83781;05/03/2010;1200;0;;19;;;;;;
83781;06/03/2010;0000;;22.3;;1;4.4;18.72;90.25;1.8;
83781;06/03/2010;1200;19.7;;16.5;;;;;;
83781;07/03/2010;0000;;28.5;;9.1;0.9;20.86;76.75;2.066667;
83781;07/03/2010;1200;22.8;;17.1;;;;;;
83781;08/03/2010;0000;;29.3;;9;4.3;22;73.5;1.966667;
83781;08/03/2010;1200;0;;17.2;;;;;;
83781;09/03/2010;0000;;30.7;;10.4;5.6;24.94;52.5;2.566667;
83781;09/03/2010;1200;0;;18.8;;;;;;
83781;10/03/2010;0000;;31.8;;10.6;7.3;25.98;53.25;2.633333;
83781;10/03/2010;1200;0;;20.2;;;;;;
83781;11/03/2010;0000;;31.6;;10.8;7.2;26.86;48.75;1.966667;
83781;11/03/2010;1200;0;;21.7;;;;;;
83781;12/03/2010;0000;;32.9;;9.1;12;26.86;64.5;2.866667;
83781;12/03/2010;1200;0;;23.4;;;;;;
83781;13/03/2010;0000;;33.1;;10.5;6.8;27.2;54.25;2.766667;
83781;13/03/2010;1200;0;;21.7;;;;;;
83781;14/03/2010;0000;;31.5;;6.6;7.5;23.94;72.5;3.6;
83781;14/03/2010;1200;0;;19.5;;;;;;
83781;15/03/2010;0000;;27.7;;1.7;3.4;23.16;74.25;3.3;
83781;15/03/2010;1200;18.9;;19.7;;;;;;
83781;16/03/2010;0000;;27.9;;8.6;3.4;22.54;73.25;3.866667;
83781;16/03/2010;1200;0.5;;20.4;;;;;;
83781;17/03/2010;0000;;26.6;;3.5;3.7;21.32;74.75;4.2;
83781;17/03/2010;1200;0;;18.5;;;;;;
83781;18/03/2010;0000;;28.1;;6.1;3.2;21.9;80.5;3.133333;
83781;18/03/2010;1200;0;;17.9;;;;;;
83781;19/03/2010;0000;;31.6;;6.7;3.3;23.26;74.5;2.866667;
83781;19/03/2010;1200;0;;19.7;;;;;;
83781;20/03/2010;0000;;31.5;;9.5;2.4;23.24;70.25;2.533333;
83781;20/03/2010;1200;8.7;;18.5;;;;;;
83781;21/03/2010;0000;;28.9;;7.5;5.3;23.34;74.75;2.933333;
83781;21/03/2010;1200;6.8;;19.7;;;;;;
83781;22/03/2010;0000;;30.7;;8.4;3.8;23.92;68.25;3.5;
83781;22/03/2010;1200;0.8;;20.1;;;;;;
83781;23/03/2010;0000;;31.3;;7.6;5.1;24.88;71.5;3.366667;
83781;23/03/2010;1200;0.2;;20.7;;;;;;
83781;24/03/2010;0000;;33.3;;10.3;3.9;25.38;68.75;2.233333;
83781;24/03/2010;1200;0;;20.8;;;;;;
83781;25/03/2010;0000;;31.7;;4.2;4.5;24.02;82;3.1;
83781;25/03/2010;1200;0;;20.3;;;;;;
83781;26/03/2010;0000;;29.8;;2.4;2.1;23.58;83;1.7;
83781;26/03/2010;1200;22.8;;21.2;;;;;;
83781;27/03/2010;0000;;30.3;;5.9;2.1;24;78.75;1.2;
83781;27/03/2010;1200;5.4;;20.7;;;;;;
83781;28/03/2010;0000;;30;;2.4;3.1;23.48;82.5;2.133333;
83781;28/03/2010;1200;2.2;;20.7;;;;;;
83781;29/03/2010;0000;;29.8;;7.3;2.9;22.9;83.75;2.033333;
83781;29/03/2010;1200;2.9;;19.9;;;;;;
83781;30/03/2010;0000;;28.1;;6.4;3.6;22.56;81;2.9;
83781;30/03/2010;1200;29.4;;19.7;;;;;;
83781;31/03/2010;0000;;27.1;;6.4;2.8;22.08;76.75;3.1;
83781;31/03/2010;1200;0.1;;19.7;;;;;;
83781;01/04/2010;0000;;26.8;;3.7;3.8;22.56;76.5;2.733333;
83781;01/04/2010;1200;0;;19;;;;;;
83781;02/04/2010;0000;;28.1;;2.6;3.1;22.42;76.25;2.4;
83781;02/04/2010;1200;0;;18.9;;;;;;
83781;03/04/2010;0000;;24.3;;0;3.4;21.22;92.25;2.733333;
83781;03/04/2010;1200;5.3;;19.7;;;;;;
83781;04/04/2010;0000;;27.7;;4.9;0.2;22.44;85.5;1.733333;
83781;04/04/2010;1200;48;;19.6;;;;;;
83781;05/04/2010;0000;;22.7;;0;1.7;18.9;94.5;3.966667;
83781;05/04/2010;1200;10.8;;17;;;;;;
83781;06/04/2010;0000;;18.7;;0;1.3;14.96;90;3.8;
83781;06/04/2010;1200;6.6;;12.7;;;;;;
83781;07/04/2010;0000;;19.6;;2.6;1;15.7;83.25;2.966667;
83781;07/04/2010;1200;22.6;;12.7;;;;;;
83781;08/04/2010;0000;;20.8;;6.3;2.3;16.12;81.5;4.4;
83781;08/04/2010;1200;2.7;;13.7;;;;;;
83781;09/04/2010;0000;;19.3;;1.4;3.1;16.4;82;2.766667;
83781;09/04/2010;1200;2;;14.2;;;;;;
83781;10/04/2010;0000;;21.1;;1.4;1.6;17.1;80.25;3.333333;
83781;10/04/2010;1200;3.6;;13.9;;;;;;
83781;11/04/2010;0000;;23.1;;5.2;2.2;18.1;78.75;3.7;
83781;11/04/2010;1200;0;;13.9;;;;;;
83781;12/04/2010;0000;;24.3;;7.7;2.6;18.4;74.5;3;
83781;12/04/2010;1200;0;;14.3;;;;;;
83781;13/04/2010;0000;;25.9;;9.4;3.5;19.94;67;3.966667;
83781;13/04/2010;1200;0;;15.6;;;;;;
83781;14/04/2010;0000;;27.1;;8;4.2;20.4;73.25;3.766667;
83781;14/04/2010;1200;0;;16.2;;;;;;
83781;15/04/2010;0000;;28.1;;7.8;2.8;22.18;69.75;2.3;
83781;15/04/2010;1200;0;;17.6;;;;;;
83781;16/04/2010;0000;;29.3;;8.6;5.3;23.08;56.25;1.6;
83781;16/04/2010;1200;0;;17.9;;;;;;
83781;17/04/2010;0000;;29.5;;10;5.7;22.54;61.75;2.133333;
83781;17/04/2010;1200;0;;18.2;;;;;;
83781;18/04/2010;0000;;27.3;;8.6;5.2;21.6;59.5;3.233333;
83781;18/04/2010;1200;0;;17.1;;;;;;
83781;19/04/2010;0000;;29.4;;9.2;6;21.72;58.75;3.033333;
83781;19/04/2010;1200;0;;16;;;;;;
83781;20/04/2010;0000;;29.9;;8.3;5;23.36;58.75;1.533333;
83781;20/04/2010;1200;0;;17.5;;;;;;
83781;21/04/2010;0000;;30.7;;9.1;5.5;24.6;56;1.9;
83781;21/04/2010;1200;0;;19.1;;;;;;
83781;22/04/2010;0000;;30.3;;6.2;6.1;24.56;65;1.733333;
83781;22/04/2010;1200;0;;20.5;;;;;;
83781;23/04/2010;0000;;27.5;;0;6.7;22.28;77;2.033333;
83781;23/04/2010;1200;0;;18.7;;;;;;
83781;24/04/2010;0000;;23.5;;0;2.8;21.08;82.75;2.566667;
83781;24/04/2010;1200;21;;18;;;;;;
83781;25/04/2010;0000;;30;;6.9;1.9;23.9;77.5;1.833333;
83781;25/04/2010;1200;0;;20;;;;;;
83781;26/04/2010;0000;;29.7;;9.3;2.4;24.9;56;2.466667;
83781;26/04/2010;1200;0;;19.7;;;;;;
83781;27/04/2010;0000;;25.4;;1.5;8.1;21.2;80;2.833333;
83781;27/04/2010;1200;0;;18.5;;;;;;
83781;28/04/2010;0000;;24.7;;1.6;1.5;19.84;79.5;2.4;
83781;28/04/2010;1200;1.9;;17.9;;;;;;
83781;29/04/2010;0000;;22.4;;0.2;2.5;18.44;76.25;3.3;
83781;29/04/2010;1200;0;;16.5;;;;;;
83781;30/04/2010;0000;;23.6;;4.9;2.5;18.8;73.5;3.1;
83781;30/04/2010;1200;0;;16;;;;;;
83781;01/05/2010;0000;;26.1;;8;2.5;18.62;71.75;1.733333;
83781;01/05/2010;1200;0;;14.2;;;;;;
83781;02/05/2010;0000;;26.7;;9.6;3;19.52;70.75;1.3;
83781;02/05/2010;1200;0;;14.4;;;;;;
83781;03/05/2010;0000;;28.8;;8.4;3.3;21.28;63.25;2.933333;
83781;03/05/2010;1200;0;;15.1;;;;;;
83781;04/05/2010;0000;;28.3;;7.9;4.5;22.58;58;2.733333;
83781;04/05/2010;1200;0;;16.7;;;;;;
83781;05/05/2010;0000;;28.1;;7.8;6.2;21.9;72.75;2.866667;
83781;05/05/2010;1200;0;;18.7;;;;;;
83781;06/05/2010;0000;;28.8;;9.2;3.7;22.34;70.75;2.966667;
83781;06/05/2010;1200;0;;17.5;;;;;;
83781;07/05/2010;0000;;31.3;;8.3;4.5;22.6;64.25;2.2;
83781;07/05/2010;1200;0;;17.2;;;;;;
83781;08/05/2010;0000;;24.4;;1.1;4.4;19.78;83.5;1.733333;
83781;08/05/2010;1200;0;;17.1;;;;;;
83781;09/05/2010;0000;;19.1;;0;2.6;16.22;82.5;3.2;
83781;09/05/2010;1200;38.7;;14.9;;;;;;
83781;10/05/2010;0000;;19.9;;5.4;1.7;15.6;80.5;2.633333;
83781;10/05/2010;1200;1.7;;13.1;;;;;;
83781;11/05/2010;0000;;21.8;;6.1;2.4;16.22;77;2.033333;
83781;11/05/2010;1200;0.2;;13.3;;;;;;
83781;12/05/2010;0000;;19.5;;8.8;2.8;15.26;54.5;3.866667;
83781;12/05/2010;1200;0;;12.3;;;;;;
83781;13/05/2010;0000;;20.7;;6;6.7;15.54;69.25;2.9;
83781;13/05/2010;1200;0;;11.2;;;;;;
83781;14/05/2010;0000;;21.3;;1.4;3.5;16.44;81.25;1.666667;
83781;14/05/2010;1200;0.6;;12.7;;;;;;
83781;15/05/2010;0000;;25.5;;7;2;18.52;79.75;1.533333;
83781;15/05/2010;1200;0;;14.7;;;;;;
83781;16/05/2010;0000;;26.7;;5.8;2.7;19.66;57;0.766667;
83781;16/05/2010;1200;0;;13.7;;;;;;
83781;17/05/2010;0000;;21.5;;0.3;5.6;18;80.25;2.233333;
83781;17/05/2010;1200;0;;15.8;;;;;;
83781;18/05/2010;0000;;22.8;;2.1;2.1;19.38;76.5;4.133333;
83781;18/05/2010;1200;0;;15.7;;;;;;
83781;19/05/2010;0000;;21.1;;0;2.5;17.36;88;2.2;
83781;19/05/2010;1200;9;;15.4;;;;;;
83781;20/05/2010;0000;;18.6;;6.7;1.6;15.12;72.25;2.266667;
83781;20/05/2010;1200;11;;12.5;;;;;;
83781;21/05/2010;0000;;19.6;;0.7;3.8;16.28;79.5;1.566667;
83781;21/05/2010;1200;0;;12.9;;;;;;
83781;22/05/2010;0000;;23.3;;6.1;1.9;17.76;79.25;1.033333;
83781;22/05/2010;1200;0;;14.1;;;;;;
83781;23/05/2010;0000;;22.2;;0.7;2.3;17.62;87.5;2.366667;
83781;23/05/2010;1200;0;;15.2;;;;;;
83781;24/05/2010;0000;;24.3;;3.1;1.5;19;81.25;2.566667;
83781;24/05/2010;1200;0;;15.1;;;;;;
83781;25/05/2010;0000;;26.5;;4.7;2;20.36;77.25;1.766667;
83781;25/05/2010;1200;0;;15.7;;;;;;
83781;26/05/2010;0000;;23.3;;3.3;3.5;19.22;79.5;2.966667;
83781;26/05/2010;1200;0;;17.7;;;;;;
83781;27/05/2010;0000;;20.9;;4.9;3.3;16.88;80.25;3;
83781;27/05/2010;1200;2.6;;15.2;;;;;;
83781;28/05/2010;0000;;21.2;;2.7;2.3;16.7;82.75;2.266667;
83781;28/05/2010;1200;1.4;;14.7;;;;;;
83781;29/05/2010;0000;;24;;5.9;1.7;18.58;76.5;3.166667;
83781;29/05/2010;1200;0;;14.7;;;;;;
83781;30/05/2010;0000;;26.5;;7.4;3.9;20.62;58.25;2.866667;
83781;30/05/2010;1200;0;;15;;;;;;
83781;31/05/2010;0000;;22.9;;6.9;6.5;16.18;75.25;3.8;
83781;31/05/2010;1200;0;;13.3;;;;;;
83781;01/06/2010;0000;;16.8;;1;3.6;14.08;78.75;3.566667;
83781;01/06/2010;1200;0.4;;12.7;;;;;;
83781;02/06/2010;0000;;20.6;;4.9;1.9;15.76;74.25;3.366667;
83781;02/06/2010;1200;0;;12.4;;;;;;
83781;03/06/2010;0000;;21.3;;4;2.3;16.72;78;2.8;
83781;03/06/2010;1200;0;;13.9;;;;;;
83781;04/06/2010;0000;;23.3;;2.5;2.4;18.22;72.5;2.833333;
83781;04/06/2010;1200;0;;14.3;;;;;;
83781;05/06/2010;0000;;22.3;;5.5;2.6;17.18;77.5;3.633333;
83781;05/06/2010;1200;10.8;;15.1;;;;;;
83781;06/06/2010;0000;;20.8;;9.1;3.2;14.46;64.75;1.4;
83781;06/06/2010;1200;0;;10.6;;;;;;
83781;07/06/2010;0000;;22.1;;8.9;3;14.18;67.5;1.4;
83781;07/06/2010;1200;0;;8.7;;;;;;
83781;08/06/2010;0000;;20.3;;8.6;3;13.86;81;2.366667;
83781;08/06/2010;1200;0;;9.3;;;;;;
83781;09/06/2010;0000;;20.7;;7.9;2.4;15.42;75.25;3.133333;
83781;09/06/2010;1200;0;;11.6;;;;;;
83781;10/06/2010;0000;;20.3;;0.7;2.1;15.76;83.5;2.266667;
83781;10/06/2010;1200;0;;13.7;;;;;;
83781;11/06/2010;0000;;18.7;;1.9;2.4;14.48;80;3.133333;
83781;11/06/2010;1200;0;;12.7;;;;;;
83781;12/06/2010;0000;;16.8;;1.4;2.4;12.9;79.25;3.966667;
83781;12/06/2010;1200;0.2;;11.3;;;;;;
